Databases,Hardware,Security,Networking,Software Development,Programming Skills,Project Management,Core Technical,Communication,AI ML,Software Engineering,Business Analysis and Data Science,Communication Skills,IT Graphics Designing,Role
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Average,Not Interested,Not Interested,Poor,Average,Intermediate,Graphics Designer
Average,Poor,Beginner,Average,Average,Excellent,Not Interested,Intermediate,Average,Beginner,Not Interested,Beginner,Average,Poor,Software Developer
Not Interested,Intermediate,Poor,Not Interested,Beginner,Excellent,Not Interested,Average,Not Interested,Beginner,Not Interested,Not Interested,Beginner,Not Interested,Software Developer
Excellent,Poor,Poor,Not Interested,Excellent,Excellent,Excellent,Average,Excellent,Excellent,Intermediate,Average,Intermediate,Not Interested,Data Scientist
Excellent,Beginner,Intermediate,Average,Excellent,Excellent,Intermediate,Excellent,Excellent,Intermediate,Not Interested,Average,Average,Beginner,Data Scientist
Not Interested,Excellent,Poor,Average,Not Interested,Average,Average,Beginner,Intermediate,Poor,Poor,Intermediate,Beginner,Not Interested,Hardware Engineer
Poor,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Beginner,Beginner,Average,Not Interested,Not Interested,Intermediate,Intermediate,Not Interested,Business Analyst
Average,Poor,Average,Average,Beginner,Beginner,Average,Intermediate,Beginner,Not Interested,Not Interested,Poor,Beginner,Not Interested,Database Administrator
Poor,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Excellent,Average,Excellent,Not Interested,Poor,Excellent,Not Interested,Not Interested,Business Analyst
Not Interested,Average,Excellent,Excellent,Poor,Beginner,Excellent,Excellent,Beginner,Average,Beginner,Average,Excellent,Not Interested,Cyber Security Specialist
Average,Average,Intermediate,Intermediate,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,Not Interested,Intermediate,Not Interested,Average,Poor,Networking Engineer
Intermediate,Beginner,Beginner,Not Interested,Intermediate,Intermediate,Average,Average,Excellent,Excellent,Beginner,Intermediate,Excellent,Not Interested,Data Scientist
Not Interested,Average,Not Interested,Not Interested,Intermediate,Average,Not Interested,Intermediate,Excellent,Beginner,Average,Excellent,Excellent,Beginner,Application Support Engineer
Intermediate,Not Interested,Not Interested,Beginner,Average,Average,Poor,Intermediate,Intermediate,Intermediate,Not Interested,Intermediate,Intermediate,Poor,Data Scientist
Average,Average,Average,Intermediate,Not Interested,Beginner,Not Interested,Not Interested,Excellent,Not Interested,Poor,Poor,Intermediate,Not Interested,Helpdesk Engineer
Average,Beginner,Poor,Beginner,Intermediate,Beginner,Beginner,Intermediate,Excellent,Excellent,Beginner,Beginner,Average,Beginner,AI ML Specialist
Poor,Beginner,Beginner,Beginner,Not Interested,Poor,Average,Average,Excellent,Not Interested,Average,Poor,Intermediate,Not Interested,Information Security Specialist
Beginner,Not Interested,Beginner,Beginner,Not Interested,Beginner,Poor,Average,Excellent,Poor,Not Interested,Not Interested,Excellent,Not Interested,Helpdesk Engineer
Not Interested,Average,Poor,Not Interested,Average,Intermediate,Intermediate,Beginner,Excellent,Intermediate,Excellent,Excellent,Excellent,Poor,Data Scientist
Not Interested,Average,Beginner,Not Interested,Intermediate,Average,Not Interested,Intermediate,Intermediate,Not Interested,Not Interested,Not Interested,Intermediate,Beginner,Software Developer
Beginner,Beginner,Average,Poor,Poor,Not Interested,Average,Beginner,Excellent,Poor,Not Interested,Intermediate,Intermediate,Poor,Customer Service Executive
Beginner,Poor,Poor,Poor,Beginner,Beginner,Excellent,Not Interested,Intermediate,Not Interested,Not Interested,Excellent,Not Interested,Poor,Business Analyst
Not Interested,Poor,Not Interested,Intermediate,Not Interested,Not Interested,Beginner,Average,Average,Not Interested,Not Interested,Beginner,Intermediate,Not Interested,Application Support Engineer
Not Interested,Poor,Not Interested,Poor,Average,Excellent,Beginner,Excellent,Intermediate,Not Interested,Average,Beginner,Not Interested,Not Interested,Software Developer
Not Interested,Excellent,Excellent,Excellent,Average,Poor,Not Interested,Excellent,Excellent,Poor,Beginner,Not Interested,Average,Poor,Networking Engineer
Poor,Not Interested,Not Interested,Not Interested,Average,Not Interested,Excellent,Not Interested,Excellent,Not Interested,Beginner,Excellent,Intermediate,Not Interested,Project Manager
Not Interested,Excellent,Average,Average,Not Interested,Poor,Not Interested,Intermediate,Poor,Beginner,Not Interested,Not Interested,Average,Not Interested,Hardware Engineer
Excellent,Beginner,Beginner,Beginner,Average,Poor,Not Interested,Average,Not Interested,Not Interested,Not Interested,Beginner,Poor,Not Interested,Database Administrator
Average,Not Interested,Intermediate,Intermediate,Not Interested,Not Interested,Excellent,Not Interested,Excellent,Not Interested,Not Interested,Average,Excellent,Not Interested,Helpdesk Engineer
Not Interested,Not Interested,Beginner,Intermediate,Not Interested,Not Interested,Not Interested,Intermediate,Average,Poor,Poor,Not Interested,Intermediate,Poor,Application Support Engineer
Beginner,Poor,Not Interested,Not Interested,Beginner,Intermediate,Not Interested,Average,Beginner,Average,Not Interested,Not Interested,Not Interested,Not Interested,Data Scientist
Not Interested,Intermediate,Intermediate,Excellent,Poor,Intermediate,Average,Excellent,Not Interested,Poor,Beginner,Beginner,Intermediate,Not Interested,Networking Engineer
Excellent,Beginner,Average,Average,Beginner,Intermediate,Average,Average,Not Interested,Not Interested,Average,Average,Intermediate,Not Interested,Database Administrator
Average,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Excellent,Average,Excellent,Beginner,Not Interested,Excellent,Average,Not Interested,Business Analyst
Not Interested,Beginner,Average,Average,Beginner,Average,Beginner,Intermediate,Intermediate,Not Interested,Not Interested,Beginner,Intermediate,Not Interested,Application Support Engineer
Beginner,Poor,Not Interested,Beginner,Not Interested,Average,Intermediate,Average,Excellent,Not Interested,Not Interested,Excellent,Excellent,Not Interested,Business Analyst
Excellent,Not Interested,Beginner,Beginner,Not Interested,Beginner,Beginner,Beginner,Poor,Not Interested,Not Interested,Average,Beginner,Not Interested,Database Administrator
Average,Poor,Not Interested,Poor,Intermediate,Intermediate,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Average,Average,Not Interested,API Specialist
Poor,Not Interested,Not Interested,Not Interested,Average,Intermediate,Excellent,Beginner,Excellent,Not Interested,Excellent,Not Interested,Not Interested,Beginner,Software Tester
Not Interested,Not Interested,Beginner,Beginner,Not Interested,Beginner,Excellent,Not Interested,Excellent,Beginner,Not Interested,Not Interested,Excellent,Not Interested,Project Manager
Intermediate,Beginner,Not Interested,Poor,Beginner,Not Interested,Excellent,Excellent,Excellent,Not Interested,Intermediate,Not Interested,Average,Not Interested,Software Tester
Excellent,Beginner,Intermediate,Average,Beginner,Beginner,Average,Beginner,Average,Not Interested,Not Interested,Beginner,Beginner,Not Interested,Database Administrator
Intermediate,Not Interested,Not Interested,Beginner,Poor,Poor,Beginner,Excellent,Intermediate,Beginner,Not Interested,Poor,Poor,Not Interested,API Specialist
Not Interested,Intermediate,Average,Average,Not Interested,Average,Not Interested,Intermediate,Average,Not Interested,Beginner,Not Interested,Intermediate,Beginner,Cyber Security Specialist
Not Interested,Not Interested,Average,Beginner,Not Interested,Poor,Poor,Poor,Not Interested,Not Interested,Not Interested,Beginner,Poor,Not Interested,Cyber Security Specialist
Beginner,Not Interested,Beginner,Not Interested,Beginner,Average,Intermediate,Intermediate,Intermediate,Intermediate,Average,Average,Beginner,Not Interested,Data Scientist
Poor,Not Interested,Poor,Not Interested,Not Interested,Average,Poor,Average,Beginner,Not Interested,Beginner,Poor,Beginner,Not Interested,Software Tester
Not Interested,Not Interested,Not Interested,Beginner,Average,Beginner,Poor,Intermediate,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Software Tester
Not Interested,Not Interested,Excellent,Intermediate,Poor,Not Interested,Average,Average,Average,Beginner,Not Interested,Beginner,Intermediate,Poor,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Average,Average,Excellent,Graphics Designer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Average,Not Interested,Not Interested,Not Interested,Poor,Excellent,Graphics Designer
Not Interested,Beginner,Not Interested,Not Interested,Intermediate,Intermediate,Beginner,Average,Beginner,Intermediate,Not Interested,Intermediate,Intermediate,Not Interested,Data Scientist
Not Interested,Not Interested,Beginner,Not Interested,Poor,Average,Poor,Intermediate,Average,Not Interested,Intermediate,Not Interested,Beginner,Not Interested,API Specialist
Average,Not Interested,Intermediate,Intermediate,Beginner,Poor,Excellent,Average,Intermediate,Beginner,Poor,Not Interested,Excellent,Beginner,Cyber Security Specialist
Poor,Average,Not Interested,Beginner,Not Interested,Not Interested,Poor,Excellent,Excellent,Poor,Not Interested,Intermediate,Excellent,Not Interested,Technical Writer
Excellent,Average,Excellent,Intermediate,Intermediate,Intermediate,Poor,Excellent,Average,Not Interested,Intermediate,Beginner,Average,Not Interested,Database Administrator
Poor,Average,Intermediate,Excellent,Not Interested,Beginner,Not Interested,Excellent,Excellent,Not Interested,Not Interested,Poor,Average,Not Interested,Networking Engineer
Not Interested,Average,Average,Average,Average,Intermediate,Excellent,Intermediate,Excellent,Beginner,Average,Excellent,Not Interested,Not Interested,Business Analyst
Intermediate,Poor,Not Interested,Beginner,Poor,Beginner,Poor,Intermediate,Average,Not Interested,Intermediate,Not Interested,Intermediate,Poor,Database Administrator
Average,Beginner,Intermediate,Not Interested,Average,Intermediate,Intermediate,Excellent,Not Interested,Poor,Intermediate,Average,Not Interested,Not Interested,API Specialist
Poor,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Average,Not Interested,Average,Not Interested,Not Interested,Average,Excellent,Not Interested,Project Manager
Excellent,Beginner,Average,Beginner,Not Interested,Not Interested,Beginner,Beginner,Excellent,Not Interested,Beginner,Beginner,Not Interested,Not Interested,Database Administrator
Beginner,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Excellent,Average,Excellent,Not Interested,Poor,Excellent,Excellent,Not Interested,Project Manager
Not Interested,Beginner,Not Interested,Poor,Not Interested,Not Interested,Beginner,Beginner,Poor,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Hardware Engineer
Intermediate,Not Interested,Beginner,Average,Beginner,Beginner,Beginner,Not Interested,Excellent,Poor,Poor,Not Interested,Intermediate,Poor,Helpdesk Engineer
Poor,Poor,Not Interested,Poor,Beginner,Not Interested,Excellent,Beginner,Excellent,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Project Manager
Beginner,Average,Beginner,Excellent,Poor,Not Interested,Intermediate,Intermediate,Average,Not Interested,Poor,Beginner,Not Interested,Not Interested,Networking Engineer
Not Interested,Average,Not Interested,Not Interested,Beginner,Average,Poor,Intermediate,Excellent,Excellent,Not Interested,Intermediate,Not Interested,Not Interested,AI ML Specialist
Not Interested,Beginner,Poor,Beginner,Poor,Average,Not Interested,Average,Average,Not Interested,Beginner,Not Interested,Poor,Not Interested,Hardware Engineer
Average,Intermediate,Beginner,Beginner,Not Interested,Not Interested,Beginner,Excellent,Average,Not Interested,Not Interested,Beginner,Average,Not Interested,Information Security Specialist
Beginner,Beginner,Intermediate,Not Interested,Intermediate,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Beginner,Not Interested,Intermediate,Not Interested,Software Tester
Not Interested,Intermediate,Average,Average,Not Interested,Beginner,Average,Excellent,Poor,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Hardware Engineer
Intermediate,Intermediate,Poor,Beginner,Intermediate,Excellent,Not Interested,Excellent,Excellent,Excellent,Intermediate,Average,Excellent,Beginner,Data Scientist
Intermediate,Intermediate,Beginner,Average,Excellent,Excellent,Not Interested,Excellent,Intermediate,Beginner,Excellent,Intermediate,Not Interested,Beginner,API Specialist
Beginner,Poor,Poor,Not Interested,Not Interested,Intermediate,Poor,Intermediate,Average,Excellent,Intermediate,Not Interested,Intermediate,Not Interested,AI ML Specialist
Beginner,Beginner,Poor,Not Interested,Average,Intermediate,Poor,Average,Beginner,Intermediate,Average,Not Interested,Not Interested,Not Interested,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Beginner,Intermediate,Not Interested,Not Interested,Intermediate,Intermediate,Not Interested,Business Analyst
Poor,Excellent,Excellent,Excellent,Intermediate,Excellent,Intermediate,Excellent,Not Interested,Not Interested,Excellent,Average,Excellent,Poor,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Average,Not Interested,Customer Service Executive
Poor,Intermediate,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Beginner,Beginner,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Networking Engineer
Average,Average,Beginner,Intermediate,Not Interested,Poor,Not Interested,Not Interested,Excellent,Not Interested,Beginner,Poor,Excellent,Not Interested,Helpdesk Engineer
Average,Not Interested,Intermediate,Intermediate,Not Interested,Not Interested,Average,Excellent,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Information Security Specialist
Not Interested,Poor,Beginner,Beginner,Intermediate,Intermediate,Not Interested,Intermediate,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,API Specialist
Poor,Intermediate,Poor,Average,Poor,Intermediate,Intermediate,Intermediate,Average,Poor,Poor,Poor,Not Interested,Not Interested,Hardware Engineer
Beginner,Not Interested,Poor,Poor,Beginner,Beginner,Excellent,Not Interested,Excellent,Poor,Average,Intermediate,Excellent,Poor,Business Analyst
Poor,Average,Intermediate,Average,Not Interested,Poor,Not Interested,Beginner,Not Interested,Not Interested,Beginner,Poor,Beginner,Not Interested,Cyber Security Specialist
Poor,Not Interested,Not Interested,Not Interested,Poor,Average,Average,Average,Excellent,Beginner,Not Interested,Excellent,Average,Poor,Data Scientist
Intermediate,Poor,Average,Not Interested,Poor,Not Interested,Not Interested,Intermediate,Average,Poor,Intermediate,Poor,Beginner,Not Interested,Database Administrator
Beginner,Excellent,Average,Beginner,Beginner,Average,Not Interested,Intermediate,Poor,Beginner,Intermediate,Beginner,Intermediate,Not Interested,Hardware Engineer
Beginner,Beginner,Beginner,Poor,Average,Average,Intermediate,Not Interested,Intermediate,Poor,Not Interested,Intermediate,Excellent,Poor,Business Analyst
Average,Average,Excellent,Intermediate,Poor,Beginner,Average,Intermediate,Beginner,Beginner,Beginner,Poor,Average,Beginner,Cyber Security Specialist
Beginner,Excellent,Beginner,Not Interested,Not Interested,Excellent,Beginner,Excellent,Not Interested,Excellent,Excellent,Intermediate,Excellent,Not Interested,AI ML Specialist
Average,Not Interested,Not Interested,Not Interested,Beginner,Beginner,Excellent,Intermediate,Intermediate,Not Interested,Intermediate,Average,Excellent,Poor,Project Manager
Intermediate,Not Interested,Excellent,Average,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Average,Excellent,Not Interested,Not Interested,Information Security Specialist
Intermediate,Excellent,Beginner,Excellent,Beginner,Poor,Average,Excellent,Excellent,Not Interested,Average,Poor,Beginner,Not Interested,Networking Engineer
Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Poor,Intermediate,Not Interested,Helpdesk Engineer
Not Interested,Not Interested,Average,Average,Poor,Average,Not Interested,Excellent,Intermediate,Not Interested,Not Interested,Beginner,Average,Not Interested,Application Support Engineer
Poor,Average,Not Interested,Intermediate,Not Interested,Poor,Not Interested,Not Interested,Excellent,Beginner,Not Interested,Not Interested,Excellent,Not Interested,Helpdesk Engineer
Excellent,Poor,Intermediate,Intermediate,Not Interested,Average,Not Interested,Excellent,Excellent,Not Interested,Average,Not Interested,Excellent,Beginner,Database Administrator
Beginner,Average,Not Interested,Beginner,Beginner,Poor,Average,Beginner,Average,Not Interested,Not Interested,Average,Beginner,Not Interested,Application Support Engineer
Poor,Beginner,Beginner,Beginner,Beginner,Intermediate,Poor,Excellent,Not Interested,Excellent,Intermediate,Intermediate,Average,Poor,Data Scientist
Average,Poor,Intermediate,Excellent,Poor,Not Interested,Poor,Excellent,Beginner,Beginner,Poor,Poor,Intermediate,Not Interested,Cyber Security Specialist
Poor,Average,Average,Average,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Information Security Specialist
Average,Not Interested,Average,Average,Beginner,Not Interested,Not Interested,Beginner,Average,Poor,Not Interested,Not Interested,Intermediate,Not Interested,Application Support Engineer
Not Interested,Not Interested,Poor,Poor,Poor,Average,Beginner,Beginner,Not Interested,Intermediate,Not Interested,Poor,Not Interested,Not Interested,AI ML Specialist
Poor,Not Interested,Poor,Poor,Not Interested,Not Interested,Not Interested,Poor,Average,Not Interested,Poor,Not Interested,Excellent,Excellent,Graphics Designer
Poor,Not Interested,Not Interested,Beginner,Poor,Beginner,Not Interested,Beginner,Intermediate,Not Interested,Not Interested,Beginner,Beginner,Not Interested,Software Developer
Average,Poor,Poor,Not Interested,Intermediate,Intermediate,Average,Excellent,Not Interested,Not Interested,Excellent,Average,Intermediate,Not Interested,Software Tester
Not Interested,Poor,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Average,Excellent,Not Interested,Poor,Average,Intermediate,Not Interested,Technical Writer
Beginner,Beginner,Beginner,Beginner,Beginner,Not Interested,Intermediate,Average,Excellent,Poor,Not Interested,Average,Intermediate,Not Interested,Project Manager
Beginner,Not Interested,Intermediate,Beginner,Not Interested,Not Interested,Beginner,Not Interested,Intermediate,Not Interested,Not Interested,Beginner,Excellent,Not Interested,Helpdesk Engineer
Not Interested,Not Interested,Not Interested,Not Interested,Average,Average,Not Interested,Average,Average,Not Interested,Intermediate,Not Interested,Average,Not Interested,Software Tester
Poor,Beginner,Poor,Beginner,Poor,Not Interested,Not Interested,Average,Excellent,Not Interested,Poor,Beginner,Excellent,Not Interested,Helpdesk Engineer
Beginner,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Intermediate,Intermediate,Not Interested,Not Interested,Not Interested,Average,Not Interested,Application Support Engineer
Intermediate,Average,Intermediate,Beginner,Excellent,Excellent,Not Interested,Excellent,Intermediate,Beginner,Excellent,Not Interested,Excellent,Intermediate,API Specialist
Excellent,Beginner,Beginner,Intermediate,Average,Not Interested,Average,Excellent,Intermediate,Not Interested,Average,Not Interested,Intermediate,Poor,Database Administrator
Not Interested,Not Interested,Intermediate,Beginner,Not Interested,Poor,Average,Intermediate,Average,Not Interested,Not Interested,Average,Average,Not Interested,Information Security Specialist
Excellent,Poor,Average,Average,Not Interested,Not Interested,Beginner,Average,Average,Not Interested,Not Interested,Poor,Beginner,Not Interested,Database Administrator
Not Interested,Poor,Not Interested,Poor,Not Interested,Poor,Average,Beginner,Excellent,Not Interested,Not Interested,Intermediate,Intermediate,Not Interested,Technical Writer
Average,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Poor,Not Interested,Beginner,Not Interested,Beginner,Not Interested,Database Administrator
Excellent,Beginner,Average,Intermediate,Beginner,Average,Beginner,Intermediate,Average,Not Interested,Average,Poor,Beginner,Not Interested,Database Administrator
Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Intermediate,Beginner,Intermediate,Not Interested,Not Interested,Beginner,Average,Excellent,Graphics Designer
Excellent,Not Interested,Intermediate,Beginner,Poor,Beginner,Poor,Intermediate,Average,Not Interested,Not Interested,Not Interested,Average,Not Interested,Database Administrator
Intermediate,Average,Excellent,Excellent,Poor,Average,Not Interested,Average,Not Interested,Poor,Average,Not Interested,Not Interested,Poor,Cyber Security Specialist
Not Interested,Not Interested,Average,Intermediate,Poor,Poor,Average,Average,Average,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Information Security Specialist
Beginner,Poor,Poor,Not Interested,Beginner,Average,Intermediate,Intermediate,Beginner,Intermediate,Excellent,Not Interested,Average,Not Interested,Data Scientist
Average,Not Interested,Not Interested,Not Interested,Poor,Beginner,Not Interested,Average,Excellent,Average,Average,Not Interested,Intermediate,Not Interested,Data Scientist
Not Interested,Not Interested,Average,Not Interested,Not Interested,Average,Excellent,Excellent,Excellent,Average,Not Interested,Intermediate,Excellent,Not Interested,Project Manager
Beginner,Not Interested,Poor,Intermediate,Beginner,Poor,Not Interested,Beginner,Average,Not Interested,Beginner,Beginner,Excellent,Not Interested,Database Administrator
Excellent,Poor,Poor,Poor,Not Interested,Not Interested,Poor,Beginner,Not Interested,Poor,Not Interested,Poor,Poor,Not Interested,Database Administrator
Average,Poor,Not Interested,Beginner,Average,Excellent,Not Interested,Beginner,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
Average,Not Interested,Excellent,Excellent,Intermediate,Intermediate,Average,Excellent,Excellent,Poor,Not Interested,Poor,Average,Not Interested,Cyber Security Specialist
Not Interested,Average,Not Interested,Average,Not Interested,Not Interested,Intermediate,Average,Beginner,Not Interested,Beginner,Beginner,Not Interested,Not Interested,Networking Engineer
Not Interested,Beginner,Beginner,Average,Intermediate,Excellent,Beginner,Excellent,Intermediate,Average,Intermediate,Beginner,Intermediate,Average,Software Developer
Beginner,Average,Poor,Poor,Poor,Beginner,Not Interested,Excellent,Beginner,Not Interested,Intermediate,Beginner,Average,Not Interested,Application Support Engineer
Excellent,Poor,Average,Intermediate,Not Interested,Beginner,Not Interested,Excellent,Excellent,Not Interested,Beginner,Not Interested,Average,Not Interested,Application Support Engineer
Beginner,Poor,Poor,Beginner,Beginner,Intermediate,Not Interested,Intermediate,Not Interested,Average,Not Interested,Average,Intermediate,Not Interested,Software Developer
Average,Intermediate,Not Interested,Excellent,Beginner,Intermediate,Not Interested,Excellent,Intermediate,Average,Not Interested,Average,Intermediate,Not Interested,Networking Engineer
Poor,Excellent,Not Interested,Average,Poor,Beginner,Not Interested,Intermediate,Not Interested,Intermediate,Beginner,Not Interested,Beginner,Not Interested,Hardware Engineer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Intermediate,Beginner,Not Interested,Beginner,Average,Not Interested,Poor,Software Tester
Average,Beginner,Poor,Not Interested,Poor,Average,Average,Intermediate,Intermediate,Poor,Beginner,Excellent,Not Interested,Poor,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Beginner,Intermediate,Not Interested,Beginner,Excellent,Not Interested,Poor,Business Analyst
Not Interested,Average,Not Interested,Not Interested,Average,Excellent,Not Interested,Excellent,Poor,Excellent,Excellent,Not Interested,Not Interested,Beginner,AI ML Specialist
Poor,Not Interested,Beginner,Beginner,Not Interested,Not Interested,Not Interested,Beginner,Excellent,Poor,Not Interested,Not Interested,Excellent,Not Interested,Helpdesk Engineer
Beginner,Excellent,Beginner,Excellent,Not Interested,Average,Beginner,Average,Beginner,Not Interested,Poor,Poor,Beginner,Poor,Hardware Engineer
Poor,Excellent,Average,Intermediate,Not Interested,Not Interested,Not Interested,Excellent,Average,Beginner,Intermediate,Average,Beginner,Not Interested,Hardware Engineer
Excellent,Average,Excellent,Not Interested,Not Interested,Excellent,Beginner,Excellent,Average,Poor,Intermediate,Average,Intermediate,Beginner,Database Administrator
Not Interested,Average,Beginner,Excellent,Not Interested,Beginner,Poor,Poor,Intermediate,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Networking Engineer
Intermediate,Beginner,Not Interested,Not Interested,Beginner,Intermediate,Poor,Average,Beginner,Intermediate,Beginner,Beginner,Beginner,Not Interested,Data Scientist
Not Interested,Average,Beginner,Excellent,Not Interested,Poor,Not Interested,Beginner,Poor,Not Interested,Poor,Beginner,Beginner,Not Interested,Networking Engineer
Poor,Intermediate,Not Interested,Average,Beginner,Poor,Beginner,Excellent,Not Interested,Not Interested,Poor,Beginner,Intermediate,Not Interested,Networking Engineer
Poor,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Intermediate,Intermediate,Not Interested,Poor,Poor,Intermediate,Not Interested,Application Support Engineer
Poor,Excellent,Not Interested,Beginner,Beginner,Intermediate,Average,Beginner,Average,Intermediate,Beginner,Excellent,Average,Poor,AI ML Specialist
Beginner,Excellent,Excellent,Excellent,Average,Excellent,Excellent,Excellent,Not Interested,Not Interested,Intermediate,Average,Not Interested,Average,Hardware Engineer
Intermediate,Not Interested,Beginner,Not Interested,Not Interested,Excellent,Beginner,Average,Average,Intermediate,Not Interested,Beginner,Not Interested,Average,Data Scientist
Excellent,Not Interested,Excellent,Not Interested,Excellent,Intermediate,Beginner,Excellent,Average,Excellent,Not Interested,Not Interested,Beginner,Not Interested,Software Developer
Not Interested,Not Interested,Poor,Not Interested,Not Interested,Poor,Poor,Not Interested,Average,Not Interested,Poor,Not Interested,Beginner,Excellent,Graphics Designer
Poor,Average,Beginner,Excellent,Not Interested,Beginner,Beginner,Excellent,Average,Not Interested,Beginner,Average,Not Interested,Poor,Information Security Specialist
Poor,Average,Excellent,Intermediate,Not Interested,Beginner,Average,Intermediate,Average,Average,Intermediate,Not Interested,Intermediate,Not Interested,Cyber Security Specialist
Not Interested,Intermediate,Poor,Beginner,Average,Not Interested,Beginner,Excellent,Intermediate,Average,Excellent,Not Interested,Intermediate,Not Interested,Software Tester
Intermediate,Intermediate,Average,Average,Beginner,Beginner,Beginner,Excellent,Not Interested,Not Interested,Excellent,Beginner,Average,Not Interested,Database Administrator
Poor,Average,Poor,Poor,Not Interested,Intermediate,Poor,Excellent,Average,Intermediate,Beginner,Beginner,Average,Not Interested,AI ML Specialist
Intermediate,Not Interested,Poor,Not Interested,Not Interested,Average,Beginner,Not Interested,Average,Not Interested,Not Interested,Excellent,Average,Not Interested,Business Analyst
Intermediate,Average,Excellent,Intermediate,Beginner,Poor,Not Interested,Intermediate,Beginner,Not Interested,Beginner,Not Interested,Poor,Not Interested,Cyber Security Specialist
Beginner,Not Interested,Beginner,Beginner,Poor,Not Interested,Poor,Excellent,Intermediate,Not Interested,Poor,Average,Intermediate,Not Interested,Application Support Engineer
Excellent,Beginner,Excellent,Intermediate,Beginner,Beginner,Poor,Excellent,Poor,Not Interested,Poor,Beginner,Average,Not Interested,Database Administrator
Beginner,Beginner,Average,Intermediate,Beginner,Beginner,Not Interested,Intermediate,Intermediate,Not Interested,Average,Not Interested,Intermediate,Not Interested,Application Support Engineer
Not Interested,Not Interested,Poor,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Poor,Poor,Excellent,Not Interested,Helpdesk Engineer
Not Interested,Not Interested,Not Interested,Average,Intermediate,Excellent,Not Interested,Excellent,Excellent,Excellent,Excellent,Excellent,Intermediate,Intermediate,Data Scientist
Poor,Not Interested,Intermediate,Not Interested,Average,Intermediate,Beginner,Intermediate,Average,Poor,Average,Beginner,Intermediate,Not Interested,Software Developer
Beginner,Not Interested,Not Interested,Beginner,Average,Average,Excellent,Not Interested,Excellent,Not Interested,Beginner,Excellent,Not Interested,Not Interested,Business Analyst
Not Interested,Beginner,Not Interested,Intermediate,Not Interested,Not Interested,Beginner,Not Interested,Excellent,Not Interested,Beginner,Not Interested,Average,Not Interested,Helpdesk Engineer
Not Interested,Not Interested,Poor,Poor,Beginner,Not Interested,Beginner,Average,Intermediate,Not Interested,Average,Poor,Excellent,Poor,Application Support Engineer
Average,Not Interested,Average,Intermediate,Excellent,Excellent,Average,Excellent,Intermediate,Beginner,Intermediate,Beginner,Average,Beginner,API Specialist
Average,Not Interested,Poor,Not Interested,Poor,Poor,Intermediate,Not Interested,Intermediate,Not Interested,Beginner,Excellent,Intermediate,Poor,Business Analyst
Excellent,Beginner,Beginner,Average,Not Interested,Beginner,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Database Administrator
