Databases,Hardware,Security,Networking,Software Development,Programming Skills,Project Management,Core Technical,Communication,AI ML,Software Engineering,Business Analysis and Data Science,Communication Skills,IT Graphics Designing,Role
Beginner,Average,Intermediate,Excellent,Not Interested,Average,Not Interested,Intermediate,Average,Not Interested,Average,Poor,Not Interested,Not Interested,"Cyber Security, Administration or Networking"
Intermediate,Average,Intermediate,Average,Poor,Beginner,Poor,Excellent,Average,Not Interested,Not Interested,Beginner,Intermediate,Not Interested,IT Support
Intermediate,Average,Excellent,Excellent,Average,Average,Average,Intermediate,Excellent,Not Interested,Not Interested,Excellent,Intermediate,Beginner,"Cyber Security, Administration or Networking"
Average,Not Interested,Average,Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Beginner,Not Interested,Beginner,Not Interested,Poor,Not Interested,Backend or databases
Average,Not Interested,Not Interested,Beginner,Average,Intermediate,Poor,Excellent,Excellent,Excellent,Not Interested,Excellent,Beginner,Not Interested,"Data Science, ML or AI"
Average,Average,Average,Intermediate,Not Interested,Average,Beginner,Excellent,Not Interested,Poor,Beginner,Not Interested,Intermediate,Not Interested,"Cyber Security, Administration or Networking"
Beginner,Intermediate,Average,Average,Not Interested,Intermediate,Not Interested,Not Interested,Excellent,Not Interested,Average,Not Interested,Excellent,Not Interested,IT Support
Poor,Not Interested,Not Interested,Not Interested,Beginner,Poor,Poor,Not Interested,Excellent,Not Interested,Not Interested,Beginner,Average,Excellent,Frontend or Graphics Designer
Excellent,Not Interested,Average,Intermediate,Beginner,Not Interested,Not Interested,Intermediate,Excellent,Not Interested,Intermediate,Beginner,Excellent,Not Interested,Backend or databases
Poor,Beginner,Excellent,Intermediate,Beginner,Intermediate,Not Interested,Intermediate,Not Interested,Not Interested,Average,Beginner,Excellent,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Average,Beginner,Poor,Not Interested,Beginner,Not Interested,Poor,Not Interested,Not Interested,Software Engineer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Intermediate,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Excellent,Excellent,Frontend or Graphics Designer
Poor,Poor,Not Interested,Poor,Average,Not Interested,Beginner,Excellent,Intermediate,Intermediate,Excellent,Beginner,Beginner,Not Interested,Software Tester
Average,Excellent,Intermediate,Average,Beginner,Poor,Poor,Intermediate,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Poor,"Cyber Security, Administration or Networking"
Not Interested,Not Interested,Not Interested,Not Interested,Average,Average,Not Interested,Average,Average,Beginner,Intermediate,Not Interested,Average,Not Interested,Software Engineer
Beginner,Not Interested,Intermediate,Excellent,Beginner,Not Interested,Excellent,Beginner,Intermediate,Not Interested,Not Interested,Intermediate,Excellent,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Average,Beginner,Beginner,Not Interested,Not Interested,Beginner,Poor,Not Interested,Not Interested,Not Interested,Poor,Beginner,Not Interested,"Cyber Security, Administration or Networking"
Beginner,Beginner,Beginner,Not Interested,Not Interested,Average,Beginner,Average,Not Interested,Intermediate,Beginner,Not Interested,Average,Beginner,"Data Science, ML or AI"
Beginner,Excellent,Beginner,Excellent,Beginner,Average,Beginner,Excellent,Beginner,Average,Poor,Beginner,Poor,Not Interested,Hardware Engineer
Beginner,Not Interested,Average,Intermediate,Not Interested,Not Interested,Poor,Intermediate,Average,Not Interested,Not Interested,Poor,Average,Not Interested,IT Support
Intermediate,Intermediate,Beginner,Beginner,Average,Average,Not Interested,Excellent,Excellent,Beginner,Average,Beginner,Excellent,Beginner,IT Support
Not Interested,Not Interested,Not Interested,Intermediate,Average,Intermediate,Beginner,Excellent,Intermediate,Poor,Not Interested,Not Interested,Excellent,Not Interested,IT Support
Not Interested,Intermediate,Not Interested,Poor,Not Interested,Poor,Poor,Average,Beginner,Not Interested,Beginner,Not Interested,Intermediate,Not Interested,Hardware Engineer
Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Intermediate,Beginner,Intermediate,Not Interested,Not Interested,Not Interested,Average,Not Interested,IT Support
Not Interested,Not Interested,Poor,Not Interested,Average,Excellent,Not Interested,Excellent,Intermediate,Beginner,Excellent,Average,Intermediate,Not Interested,Software Tester
Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Beginner,Excellent,Beginner,Intermediate,Average,Not Interested,Excellent,Intermediate,Not Interested,Business Analyst
Not Interested,Poor,Intermediate,Beginner,Not Interested,Beginner,Not Interested,Average,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Beginner,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,IT Support
Not Interested,Intermediate,Intermediate,Excellent,Average,Excellent,Not Interested,Excellent,Excellent,Not Interested,Excellent,Intermediate,Excellent,Poor,IT Support
Beginner,Not Interested,Not Interested,Not Interested,Beginner,Intermediate,Not Interested,Poor,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Software Engineer
Not Interested,Beginner,Not Interested,Not Interested,Average,Beginner,Beginner,Beginner,Intermediate,Average,Average,Average,Beginner,Poor,"Data Science, ML or AI"
Not Interested,Excellent,Not Interested,Average,Poor,Not Interested,Beginner,Average,Average,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Hardware Engineer
Not Interested,Excellent,Poor,Beginner,Not Interested,Not Interested,Excellent,Average,Not Interested,Poor,Poor,Beginner,Poor,Poor,Hardware Engineer
Poor,Average,Poor,Not Interested,Not Interested,Not Interested,Beginner,Average,Excellent,Not Interested,Poor,Not Interested,Excellent,Not Interested,IT Support
Not Interested,Average,Not Interested,Poor,Beginner,Beginner,Intermediate,Intermediate,Intermediate,Not Interested,Average,Excellent,Excellent,Poor,Business Analyst
Beginner,Beginner,Poor,Poor,Not Interested,Not Interested,Not Interested,Average,Intermediate,Not Interested,Not Interested,Intermediate,Intermediate,Not Interested,IT Support
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Average,Not Interested,Not Interested,Not Interested,Beginner,Intermediate,Frontend or Graphics Designer
Not Interested,Intermediate,Average,Average,Poor,Poor,Poor,Excellent,Average,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,"Cyber Security, Administration or Networking"
Poor,Poor,Poor,Not Interested,Beginner,Beginner,Beginner,Beginner,Average,Poor,Poor,Average,Average,Poor,"Data Science, ML or AI"
Intermediate,Poor,Average,Not Interested,Intermediate,Intermediate,Average,Average,Average,Beginner,Average,Not Interested,Intermediate,Poor,Software Engineer
Beginner,Beginner,Poor,Poor,Excellent,Excellent,Poor,Excellent,Intermediate,Not Interested,Intermediate,Beginner,Average,Not Interested,Software Tester
Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Beginner,Average,Excellent,Intermediate,Poor,Average,Poor,Excellent,Not Interested,IT Support
Excellent,Beginner,Intermediate,Average,Average,Average,Beginner,Excellent,Poor,Not Interested,Intermediate,Average,Not Interested,Not Interested,Backend or databases
Not Interested,Intermediate,Intermediate,Average,Beginner,Beginner,Not Interested,Excellent,Average,Not Interested,Average,Beginner,Excellent,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Not Interested,Not Interested,Not Interested,Average,Average,Average,Beginner,Intermediate,Excellent,Average,Beginner,Beginner,Not Interested,"Data Science, ML or AI"
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Beginner,Intermediate,Frontend or Graphics Designer
Excellent,Average,Excellent,Excellent,Beginner,Average,Beginner,Excellent,Average,Not Interested,Excellent,Beginner,Average,Poor,Backend or databases
Poor,Beginner,Poor,Beginner,Not Interested,Not Interested,Beginner,Not Interested,Intermediate,Not Interested,Beginner,Not Interested,Excellent,Not Interested,IT Support
Poor,Poor,Not Interested,Not Interested,Not Interested,Intermediate,Beginner,Intermediate,Beginner,Intermediate,Average,Not Interested,Average,Poor,"Data Science, ML or AI"
Excellent,Average,Average,Excellent,Excellent,Intermediate,Beginner,Excellent,Average,Average,Average,Average,Not Interested,Poor,Backend or databases
Beginner,Not Interested,Average,Average,Not Interested,Poor,Beginner,Average,Excellent,Not Interested,Not Interested,Average,Excellent,Poor,IT Support
Poor,Beginner,Not Interested,Beginner,Beginner,Average,Poor,Intermediate,Beginner,Beginner,Average,Beginner,Beginner,Not Interested,Software Engineer
Average,Not Interested,Poor,Average,Excellent,Excellent,Average,Excellent,Average,Excellent,Intermediate,Intermediate,Beginner,Beginner,"Data Science, ML or AI"
Not Interested,Not Interested,Beginner,Not Interested,Average,Not Interested,Average,Average,Excellent,Not Interested,Average,Average,Not Interested,Not Interested,Business Analyst
Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Average,Beginner,Excellent,Not Interested,Not Interested,Poor,Excellent,Not Interested,IT Support
Poor,Not Interested,Not Interested,Not Interested,Average,Not Interested,Beginner,Average,Average,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Software Tester
Average,Beginner,Excellent,Average,Poor,Average,Beginner,Intermediate,Beginner,Poor,Poor,Poor,Average,Not Interested,"Cyber Security, Administration or Networking"
Intermediate,Poor,Not Interested,Not Interested,Intermediate,Beginner,Excellent,Beginner,Excellent,Poor,Beginner,Excellent,Not Interested,Average,Business Analyst
Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Average,Not Interested,Poor,Average,Intermediate,Not Interested,Business Analyst
Average,Not Interested,Not Interested,Poor,Average,Not Interested,Intermediate,Beginner,Intermediate,Not Interested,Beginner,Excellent,Intermediate,Not Interested,Business Analyst
Beginner,Beginner,Beginner,Intermediate,Poor,Poor,Average,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,"Cyber Security, Administration or Networking"
Beginner,Intermediate,Intermediate,Excellent,Beginner,Intermediate,Poor,Average,Not Interested,Not Interested,Beginner,Poor,Not Interested,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Average,Not Interested,Not Interested,Excellent,Excellent,Average,Average,Not Interested,Not Interested,Average,Average,Not Interested,Beginner,Software Engineer
Excellent,Average,Not Interested,Not Interested,Intermediate,Intermediate,Average,Excellent,Average,Excellent,Excellent,Beginner,Average,Poor,"Data Science, ML or AI"
Not Interested,Beginner,Excellent,Average,Poor,Not Interested,Not Interested,Intermediate,Average,Not Interested,Not Interested,Not Interested,Poor,Not Interested,"Cyber Security, Administration or Networking"
Excellent,Average,Beginner,Beginner,Average,Excellent,Beginner,Intermediate,Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Beginner,"Data Science, ML or AI"
Average,Beginner,Beginner,Not Interested,Intermediate,Excellent,Average,Beginner,Intermediate,Average,Excellent,Not Interested,Excellent,Not Interested,Software Tester
Not Interested,Average,Average,Beginner,Not Interested,Not Interested,Not Interested,Beginner,Excellent,Not Interested,Beginner,Excellent,Intermediate,Not Interested,"Cyber Security, Administration or Networking"
Beginner,Poor,Excellent,Intermediate,Poor,Poor,Poor,Average,Poor,Not Interested,Poor,Not Interested,Beginner,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Not Interested,Poor,Not Interested,Beginner,Average,Poor,Beginner,Poor,Beginner,Not Interested,Not Interested,Average,Not Interested,"Data Science, ML or AI"
Average,Beginner,Average,Intermediate,Average,Poor,Average,Average,Average,Not Interested,Not Interested,Poor,Intermediate,Not Interested,Backend or databases
Poor,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Beginner,Beginner,Not Interested,Not Interested,Poor,Intermediate,Poor,IT Support
Excellent,Beginner,Intermediate,Excellent,Intermediate,Average,Average,Excellent,Average,Beginner,Not Interested,Average,Excellent,Poor,Backend or databases
Beginner,Not Interested,Beginner,Intermediate,Not Interested,Not Interested,Not Interested,Average,Average,Not Interested,Not Interested,Poor,Excellent,Not Interested,IT Support
Not Interested,Excellent,Average,Excellent,Not Interested,Intermediate,Intermediate,Excellent,Average,Not Interested,Beginner,Poor,Average,Not Interested,"Cyber Security, Administration or Networking"
Average,Excellent,Average,Average,Average,Intermediate,Beginner,Excellent,Beginner,Excellent,Excellent,Beginner,Average,Not Interested,"Data Science, ML or AI"
Not Interested,Not Interested,Excellent,Intermediate,Not Interested,Average,Intermediate,Intermediate,Intermediate,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Intermediate,Poor,Beginner,Not Interested,Not Interested,Excellent,Not Interested,Excellent,Not Interested,Not Interested,Excellent,Excellent,Not Interested,Business Analyst
Intermediate,Not Interested,Intermediate,Average,Excellent,Average,Not Interested,Intermediate,Average,Not Interested,Excellent,Poor,Average,Not Interested,Software Engineer
Not Interested,Poor,Poor,Average,Not Interested,Not Interested,Average,Not Interested,Excellent,Not Interested,Not Interested,Average,Average,Not Interested,IT Support
Not Interested,Beginner,Beginner,Beginner,Intermediate,Excellent,Average,Excellent,Average,Excellent,Excellent,Not Interested,Excellent,Not Interested,"Data Science, ML or AI"
Beginner,Average,Excellent,Excellent,Not Interested,Poor,Beginner,Average,Average,Beginner,Beginner,Beginner,Intermediate,Not Interested,"Cyber Security, Administration or Networking"
Average,Excellent,Excellent,Excellent,Beginner,Intermediate,Poor,Excellent,Average,Not Interested,Average,Not Interested,Intermediate,Beginner,"Cyber Security, Administration or Networking"
Intermediate,Intermediate,Not Interested,Intermediate,Beginner,Not Interested,Intermediate,Average,Excellent,Beginner,Not Interested,Not Interested,Excellent,Not Interested,IT Support
Intermediate,Not Interested,Excellent,Intermediate,Excellent,Excellent,Not Interested,Excellent,Intermediate,Not Interested,Not Interested,Excellent,Intermediate,Not Interested,Software Engineer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Average,Not Interested,Not Interested,Beginner,Excellent,Not Interested,IT Support
Not Interested,Not Interested,Beginner,Not Interested,Beginner,Poor,Not Interested,Intermediate,Average,Not Interested,Not Interested,Average,Intermediate,Poor,IT Support
Not Interested,Poor,Not Interested,Average,Not Interested,Poor,Poor,Intermediate,Excellent,Not Interested,Not Interested,Intermediate,Excellent,Not Interested,IT Support
Not Interested,Average,Beginner,Beginner,Not Interested,Not Interested,Not Interested,Poor,Intermediate,Not Interested,Not Interested,Poor,Excellent,Not Interested,IT Support
Poor,Average,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Excellent,Poor,Not Interested,Beginner,Excellent,Not Interested,IT Support
Beginner,Beginner,Beginner,Beginner,Intermediate,Not Interested,Average,Excellent,Excellent,Not Interested,Intermediate,Excellent,Excellent,Poor,Software Tester
Poor,Poor,Excellent,Average,Not Interested,Not Interested,Poor,Beginner,Beginner,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,"Cyber Security, Administration or Networking"
Beginner,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Average,Not Interested,Intermediate,Not Interested,Poor,Excellent,Not Interested,Poor,Business Analyst
Intermediate,Average,Average,Excellent,Intermediate,Beginner,Not Interested,Intermediate,Intermediate,Not Interested,Poor,Poor,Excellent,Not Interested,IT Support
Beginner,Not Interested,Not Interested,Not Interested,Beginner,Poor,Beginner,Poor,Beginner,Not Interested,Poor,Average,Average,Poor,Business Analyst
Average,Beginner,Average,Average,Not Interested,Not Interested,Average,Intermediate,Not Interested,Not Interested,Beginner,Intermediate,Average,Not Interested,"Cyber Security, Administration or Networking"
Not Interested,Not Interested,Not Interested,Not Interested,Average,Intermediate,Beginner,Beginner,Not Interested,Not Interested,Average,Beginner,Average,Poor,Software Engineer
Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Average,Average,Excellent,Frontend or Graphics Designer
Intermediate,Average,Average,Beginner,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,Excellent,Intermediate,Average,Intermediate,Beginner,"Data Science, ML or AI"
Beginner,Beginner,Not Interested,Not Interested,Not Interested,Poor,Poor,Beginner,Excellent,Not Interested,Not Interested,Poor,Intermediate,Not Interested,IT Support
Beginner,Average,Not Interested,Poor,Intermediate,Excellent,Poor,Intermediate,Beginner,Average,Poor,Excellent,Not Interested,Beginner,"Data Science, ML or AI"
Average,Not Interested,Not Interested,Not Interested,Average,Excellent,Not Interested,Intermediate,Poor,Poor,Beginner,Average,Poor,Not Interested,"Data Science, ML or AI"
Average,Not Interested,Not Interested,Average,Not Interested,Poor,Intermediate,Not Interested,Excellent,Poor,Not Interested,Not Interested,Excellent,Poor,IT Support
Excellent,Not Interested,Excellent,Excellent,Intermediate,Not Interested,Average,Excellent,Excellent,Beginner,Average,Not Interested,Excellent,Not Interested,IT Support
Intermediate,Intermediate,Excellent,Excellent,Average,Average,Not Interested,Excellent,Not Interested,Poor,Average,Not Interested,Not Interested,Average,"Cyber Security, Administration or Networking"
Excellent,Not Interested,Average,Not Interested,Poor,Not Interested,Average,Excellent,Poor,Not Interested,Poor,Poor,Average,Not Interested,Backend or databases
Poor,Not Interested,Poor,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Average,Poor,Not Interested,Not Interested,Beginner,Average,Frontend or Graphics Designer
Average,Not Interested,Excellent,Intermediate,Average,Not Interested,Intermediate,Excellent,Intermediate,Poor,Beginner,Not Interested,Intermediate,Beginner,"Cyber Security, Administration or Networking"
Not Interested,Beginner,Beginner,Not Interested,Not Interested,Not Interested,Beginner,Average,Beginner,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Business Analyst
Average,Not Interested,Intermediate,Not Interested,Excellent,Average,Not Interested,Intermediate,Average,Not Interested,Excellent,Beginner,Not Interested,Not Interested,Software Engineer
Not Interested,Poor,Not Interested,Not Interested,Average,Not Interested,Beginner,Excellent,Average,Not Interested,Average,Average,Average,Not Interested,Software Tester
Not Interested,Excellent,Excellent,Excellent,Poor,Poor,Not Interested,Intermediate,Not Interested,Not Interested,Beginner,Intermediate,Intermediate,Not Interested,"Cyber Security, Administration or Networking"
Average,Not Interested,Beginner,Not Interested,Intermediate,Excellent,Average,Average,Excellent,Excellent,Average,Not Interested,Average,Not Interested,"Data Science, ML or AI"
Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Average,Beginner,Excellent,Not Interested,Poor,Beginner,Intermediate,Not Interested,IT Support
Beginner,Not Interested,Beginner,Beginner,Intermediate,Excellent,Beginner,Excellent,Average,Excellent,Average,Not Interested,Not Interested,Poor,"Data Science, ML or AI"
Not Interested,Beginner,Not Interested,Not Interested,Poor,Not Interested,Poor,Intermediate,Average,Not Interested,Not Interested,Beginner,Average,Not Interested,IT Support
Not Interested,Not Interested,Poor,Poor,Beginner,Intermediate,Poor,Average,Poor,Intermediate,Beginner,Poor,Not Interested,Not Interested,"Data Science, ML or AI"
Average,Poor,Beginner,Poor,Average,Average,Not Interested,Average,Not Interested,Beginner,Intermediate,Not Interested,Not Interested,Poor,Software Engineer
Not Interested,Poor,Poor,Beginner,Excellent,Intermediate,Intermediate,Average,Intermediate,Excellent,Intermediate,Not Interested,Average,Not Interested,"Data Science, ML or AI"
Not Interested,Excellent,Average,Not Interested,Excellent,Intermediate,Poor,Excellent,Not Interested,Excellent,Intermediate,Excellent,Beginner,Not Interested,"Data Science, ML or AI"
Intermediate,Intermediate,Excellent,Excellent,Poor,Beginner,Not Interested,Excellent,Not Interested,Poor,Average,Intermediate,Intermediate,Poor,"Cyber Security, Administration or Networking"
Beginner,Not Interested,Not Interested,Not Interested,Average,Beginner,Not Interested,Average,Poor,Poor,Average,Not Interested,Not Interested,Not Interested,Software Engineer
Intermediate,Excellent,Beginner,Average,Intermediate,Beginner,Intermediate,Excellent,Excellent,Average,Intermediate,Beginner,Excellent,Beginner,IT Support
Beginner,Not Interested,Average,Poor,Not Interested,Not Interested,Beginner,Beginner,Excellent,Not Interested,Not Interested,Poor,Intermediate,Not Interested,IT Support
Intermediate,Beginner,Poor,Beginner,Beginner,Excellent,Average,Intermediate,Excellent,Intermediate,Intermediate,Beginner,Average,Beginner,"Data Science, ML or AI"
Average,Not Interested,Beginner,Poor,Excellent,Excellent,Poor,Intermediate,Not Interested,Not Interested,Intermediate,Beginner,Average,Poor,Software Engineer
Not Interested,Not Interested,Poor,Poor,Average,Poor,Not Interested,Average,Excellent,Not Interested,Poor,Not Interested,Intermediate,Not Interested,IT Support
Intermediate,Intermediate,Average,Intermediate,Average,Excellent,Beginner,Intermediate,Not Interested,Average,Not Interested,Not Interested,Not Interested,Not Interested,Software Engineer
Intermediate,Beginner,Intermediate,Average,Beginner,Beginner,Excellent,Not Interested,Excellent,Beginner,Poor,Not Interested,Excellent,Poor,IT Support
Beginner,Beginner,Average,Beginner,Beginner,Intermediate,Beginner,Excellent,Poor,Excellent,Not Interested,Intermediate,Average,Not Interested,"Data Science, ML or AI"
Beginner,Poor,Not Interested,Not Interested,Average,Intermediate,Beginner,Average,Not Interested,Excellent,Average,Not Interested,Intermediate,Poor,"Data Science, ML or AI"
Not Interested,Poor,Not Interested,Poor,Beginner,Not Interested,Not Interested,Intermediate,Not Interested,Intermediate,Not Interested,Not Interested,Beginner,Not Interested,"Data Science, ML or AI"
Beginner,Not Interested,Poor,Not Interested,Beginner,Not Interested,Excellent,Not Interested,Intermediate,Not Interested,Poor,Excellent,Intermediate,Not Interested,Business Analyst
Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Beginner,Not Interested,Excellent,Average,Beginner,Intermediate,Not Interested,Average,Not Interested,Software Tester
Intermediate,Not Interested,Average,Intermediate,Excellent,Excellent,Not Interested,Excellent,Not Interested,Average,Excellent,Not Interested,Not Interested,Poor,Software Engineer
Intermediate,Not Interested,Excellent,Intermediate,Intermediate,Excellent,Not Interested,Excellent,Not Interested,Average,Not Interested,Not Interested,Not Interested,Not Interested,Software Engineer
Average,Not Interested,Excellent,Intermediate,Not Interested,Poor,Average,Excellent,Intermediate,Beginner,Beginner,Poor,Intermediate,Not Interested,"Cyber Security, Administration or Networking"
Beginner,Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Average,Not Interested,Average,Beginner,Average,Poor,"Cyber Security, Administration or Networking"
Not Interested,Intermediate,Not Interested,Average,Average,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Hardware Engineer
Poor,Excellent,Not Interested,Beginner,Poor,Not Interested,Average,Average,Poor,Not Interested,Poor,Beginner,Average,Not Interested,Hardware Engineer
Not Interested,Intermediate,Not Interested,Average,Average,Not Interested,Average,Average,Intermediate,Not Interested,Average,Not Interested,Beginner,Poor,Hardware Engineer
Not Interested,Not Interested,Poor,Not Interested,Average,Intermediate,Not Interested,Average,Average,Beginner,Beginner,Not Interested,Average,Average,"Data Science, ML or AI"
Average,Not Interested,Not Interested,Beginner,Average,Beginner,Excellent,Intermediate,Intermediate,Beginner,Beginner,Excellent,Not Interested,Poor,Business Analyst
Average,Average,Beginner,Not Interested,Not Interested,Beginner,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,"Cyber Security, Administration or Networking"
Beginner,Intermediate,Average,Intermediate,Beginner,Beginner,Not Interested,Excellent,Intermediate,Poor,Poor,Beginner,Average,Not Interested,"Cyber Security, Administration or Networking"
Beginner,Not Interested,Average,Excellent,Average,Not Interested,Beginner,Intermediate,Excellent,Not Interested,Not Interested,Average,Intermediate,Not Interested,IT Support
Excellent,Poor,Beginner,Average,Not Interested,Average,Beginner,Intermediate,Not Interested,Not Interested,Average,Average,Poor,Not Interested,Backend or databases
Beginner,Excellent,Not Interested,Excellent,Not Interested,Not Interested,Poor,Excellent,Intermediate,Not Interested,Not Interested,Not Interested,Average,Not Interested,"Cyber Security, Administration or Networking"
Poor,Poor,Average,Not Interested,Not Interested,Not Interested,Poor,Poor,Average,Poor,Poor,Beginner,Beginner,Average,Frontend or Graphics Designer
Excellent,Beginner,Beginner,Average,Beginner,Average,Poor,Intermediate,Intermediate,Not Interested,Intermediate,Average,Intermediate,Not Interested,Backend or databases
Beginner,Excellent,Not Interested,Excellent,Beginner,Average,Intermediate,Excellent,Excellent,Not Interested,Not Interested,Average,Intermediate,Not Interested,"Cyber Security, Administration or Networking"
Excellent,Not Interested,Excellent,Poor,Intermediate,Excellent,Beginner,Excellent,Excellent,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Software Engineer
Excellent,Beginner,Beginner,Average,Beginner,Poor,Poor,Excellent,Average,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Backend or databases
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Average,Excellent,Not Interested,Intermediate,Not Interested,Beginner,Beginner,Not Interested,"Data Science, ML or AI"
Average,Not Interested,Not Interested,Poor,Poor,Excellent,Poor,Excellent,Intermediate,Average,Intermediate,Intermediate,Beginner,Poor,"Data Science, ML or AI"
Not Interested,Not Interested,Not Interested,Not Interested,Average,Not Interested,Not Interested,Intermediate,Excellent,Not Interested,Beginner,Beginner,Intermediate,Not Interested,IT Support
Not Interested,Excellent,Not Interested,Beginner,Beginner,Intermediate,Poor,Excellent,Not Interested,Poor,Not Interested,Beginner,Poor,Not Interested,Hardware Engineer
Not Interested,Not Interested,Excellent,Average,Not Interested,Beginner,Beginner,Intermediate,Average,Not Interested,Poor,Poor,Average,Not Interested,"Cyber Security, Administration or Networking"
Average,Not Interested,Not Interested,Poor,Intermediate,Excellent,Poor,Intermediate,Poor,Excellent,Beginner,Average,Beginner,Not Interested,"Data Science, ML or AI"
Beginner,Poor,Poor,Not Interested,Poor,Not Interested,Intermediate,Average,Intermediate,Not Interested,Not Interested,Excellent,Not Interested,Beginner,Business Analyst
Average,Intermediate,Average,Excellent,Not Interested,Not Interested,Average,Intermediate,Excellent,Not Interested,Average,Average,Excellent,Not Interested,IT Support
Not Interested,Not Interested,Not Interested,Poor,Average,Average,Beginner,Excellent,Beginner,Beginner,Excellent,Average,Not Interested,Poor,Software Tester
Beginner,Not Interested,Not Interested,Not Interested,Poor,Intermediate,Beginner,Average,Average,Average,Beginner,Beginner,Average,Poor,"Data Science, ML or AI"
Beginner,Poor,Poor,Not Interested,Poor,Poor,Beginner,Beginner,Beginner,Not Interested,Not Interested,Excellent,Intermediate,Not Interested,Business Analyst
Not Interested,Average,Average,Intermediate,Poor,Not Interested,Intermediate,Intermediate,Excellent,Not Interested,Beginner,Not Interested,Average,Beginner,"Cyber Security, Administration or Networking"
Excellent,Beginner,Beginner,Average,Beginner,Intermediate,Not Interested,Excellent,Not Interested,Excellent,Intermediate,Average,Average,Average,"Data Science, ML or AI"
Not Interested,Not Interested,Beginner,Intermediate,Not Interested,Excellent,Intermediate,Excellent,Average,Excellent,Excellent,Intermediate,Average,Not Interested,"Data Science, ML or AI"
Poor,Beginner,Not Interested,Beginner,Not Interested,Intermediate,Poor,Intermediate,Intermediate,Excellent,Beginner,Not Interested,Average,Poor,"Data Science, ML or AI"
Poor,Not Interested,Not Interested,Not Interested,Average,Average,Poor,Beginner,Excellent,Average,Beginner,Average,Poor,Not Interested,"Data Science, ML or AI"
Not Interested,Poor,Poor,Not Interested,Beginner,Beginner,Beginner,Average,Average,Not Interested,Intermediate,Average,Intermediate,Not Interested,Software Tester
Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Beginner,Not Interested,Not Interested,Excellent,Beginner,Not Interested,Business Analyst
Intermediate,Poor,Not Interested,Not Interested,Poor,Beginner,Poor,Beginner,Beginner,Not Interested,Beginner,Not Interested,Average,Not Interested,Backend or databases
Beginner,Not Interested,Not Interested,Average,Average,Beginner,Intermediate,Excellent,Excellent,Not Interested,Average,Excellent,Not Interested,Average,Business Analyst
